ids,documents,label
0,chief executives and senior officials,1111
1,elected officers and representatives,1112
2,production managers and directors in manufacturing,1121
3,production managers and directors in construction,1122
4,production managers and directors in mining and energy,1123
5,financial managers and directors,1131
6,"marketing, sales and advertising directors",1132
7,public relations and communications directors,1133
8,purchasing managers and directors,1134
9,charitable organisation managers and directors,1135
10,human resource managers and directors,1136
11,information technology directors,1137
12,functional managers and directors n.e.c.,1139
13,"directors in logistics, warehousing and transport",1140
14,managers and directors in retail and wholesale,1150
15,officers in armed forces,1161
16,senior police officers,1162
17,"senior officers in fire, ambulance, prison and related services",1163
18,health services and public health managers and directors,1171
19,social services managers and directors,1172
